"id","title","content","created_at","updated_at","category_id","slug"
7071,"1. Виды переломов, их характеристика","say Сегодня проведу вам лекцию на тему ""Переломы"".

say Начнем, пожалуй, с определения самого термина ""Перелом"":
say Перелом - это полное или частичное нарушение целостности кости,
say ..возникшее под действием какой-либо внешней силы.
say Почти каждый перелом сопровождается травмой мышц, нервных стволов..
say и сплетений, кровеносных сосудов, сухожилий.
say Нередко повреждаются внутренние органы.

say В зависимости от происхождения переломы делят на врожденные и приобретенные
say Приобретенные переломы делят на травматические,
say при которых повреждается здоровая кость; патологические, когда наступает..
say повреждение болезненно измененной кости (сифилис, туберкулез, остеомиелит)

say Переломы различают полные и неполные.
say К неполным переломам относятся трещины, краевые переломы и надломы костей.
say Трещины чаще встречаются при повреждении плоских костей (череп, лопатка).

say По количеству переломов кости у одного больного..
say передомы разделяют на одиночные и множественные
say При множественных переломах повреждается одна кость..
say  в нескольких местах или несколько костей.

say На этом у меня все. Есть вопросы?",2025-07-03 23:02:02.490 +0300,2025-07-03 23:02:02.490 +0300,302,"1-vidy-perelomov-ih-harakteristika"
7072,"10. Первая помощь при укусе змеи","say Сегодня я проведу вам лекцию на тему: ""Первая помощь при укусе змеи""
say Общие симптомы укуса змеи определяются по следующим пунктам:
say Одышка; головокружение; учащенное сердцебиение; частый пульс; тошнота (иногда рвота); 
say А также обморочное состояние, коллапс или шок. 
say При оказании первой помощи запрещается: 
say Прижигание места укуса, обкалывание места укуса любыми препаратами, разрезы места укуса ..
say ..перетягивание конечности жгутом (кроме укуса кобры), употребление алкоголя в любых количествах 
say Первая помощь: уложить больного, по возможности не давать двигаться.. 
say ..(чтобы яд не распространялся по всему организму), успокоить больного..
say ..(нервозность и паника ускоряют кровоток и усиливают сердечную деятельность), 
say Кожу вокруг раны обработать спиртом, зеленкой, йодом или водкой, наложить стерильную повязку, 
say закрепить ее бинтом натуго или лейкопластырем 
say После проведения мероприятий по оказанию первой помощи незамедлительно госпитализировать пациента..
say в ближайшее лечебное учреждение.
say На этом лекция окончена, спасибо.",2025-07-03 23:02:02.947 +0300,2025-07-03 23:02:02.947 +0300,306,"10-pervaja-pomosch-pri-ukuse-zmei"
7073,"11. Первая помощь при электро-травмах","say Приветствую, я прочту Вам лекцию на тему ""ПП при электро-травме"".

say Ваши действия если кого-то ударило током:
say Прекратить действие тока: выключить рубильник, палкой отбросить провод,
say вывернуть предохранитель сухой тряпкой, веревкой, выбить палкой.
say Нужно оттащить пострадавшего от провода.
say В зоне обрыва контактного провода оказывающий помощь должен находиться..
say ..в резиновой обуви либо стоять на сухой доске.
say При остановке сердца сочетать искусственное дыхание с непрямым массажем сердца;
say после прихода в себя напоить пострадавшего большим количеством жидкости;
say на место ожога наложить стерильную повязку или чистую ткань;
say даже если не было потери сознания и пострадавший после оказания помощи..
say ..чувствует себя удовлетворительно, его необходимо доставить в лечебное учреждение.",2025-07-03 23:02:03.401 +0300,2025-07-03 23:02:03.401 +0300,306,"11-pervaja-pomosch-pri-elektro-travmah"
7074,"12. Первая помощь при эпилептическом припадке","say Сегодня расскажу вам лекцию на тему ""ПП при эпилептическом припадке""

say Эпилептический припадок - это проявление эпилепсии или хронического заболевания головного мозга.
say Распознается эпилептический припадок по следующим пунктам:
say 1. Судорожные сокращения мышц
say 2. Остановка дыхания
say 3. Потеря сознания
say Что необходимо сделать при приступе эпилепсии у пациента:
say Самое первое - это не паниковать, потому что вы берете на себя..
say ..ответственность за здоровье другого человека, а поэтому обязаны сохранять спокойствие и ясный ум.
say Второе - быть рядом с человеком на протяжении всего припадка, успокаивать человека и помогать..
say ..ему прийти в себя.
say Третье - проследить, чтобы жертве приступа ничего не угрожало (транспорт, пешеходы и т.д. и т.п.)
say Четвертое - обязательно засечь время начала приступа.
say Пятое - опустить больного на землю и подложить ему что-то мягкое под голову.
say Шестое - не удерживать жертву в неподвижном состоянии, чтобы остановить судороги. Это не расслабит мышцы,
say но запросто может стать причиной травмы.
say Седьмое - не пытайтесь разжать челюсть пациента и поместить между ними какие бы то ни было твердые предметы, 
say так как есть риск, что он или случайно укусит вас, или раскрошит  себе зубы.
say Восьмое - проверить дыхательные пути после прекращения припадка. Для этого необходимо перевернуть человека..
say ..на бок. Если ему всё еще тяжело дышать, то необходимо его госпитализировать в больницу.
say Девятое - если припадок длится больше  5 минут - необходима госпитализация в больницу.
say И последнее - ни в коем случае не оставляйте человека одного.
say Если он поранился, травмировал себя или же за первым приступом сразу следует второй,
say то необходима срочная госпитализация в больницу.
say На этом лекция окончена, спасибо.",2025-07-03 23:02:03.856 +0300,2025-07-03 23:02:03.856 +0300,306,"12-pervaja-pomosch-pri-epilepticheskom-pripadke"
7075,"13. ПП при остром аллергическом приступе","say Уважаемые коллеги, сейчас я расскажу лекцию ""Оказание первой помощи при остром..
say ..аллергическом приступе""
say Острый аллергический приступ может быть от чего угодно, от укуса насекомых, от пищи и так далее
say Чаще всего, при остром аллергическом приступе, происходит отек легких..
say ..и дыхательной системы и перекрываеться дыхание
say Вам нужно продезинфицировать место надреза спиртом.
say Место надреза нужно сделать сантиметра полтора-два от кадыка, на месте трахеи.
say Надрез делать скальпелем либо ножом, главное всё продезинфицировать,
say надрез делается миллиметров 5 по горизонтали.
say После надреза вам нужно вставить какую-нибудь трубку, подойдет трубка от шариковой ручки,
say её тоже нужно продезинфицировать.
say После этого процесса, человек будет дышать через трубку.
say У таких людей на руках есть татуировки либо жетоны на шее, где написано, на что у них аллергия.
say После этого, вы вводите препарат который уберет приступ аллергии.
say После этих процессов, вам нужно убрать аккуратно убрать трубку и наложить прокладку и повязку на место разреза.
say На этом лекция окончена, всем спасибо.",2025-07-03 23:02:04.310 +0300,2025-07-03 23:02:04.310 +0300,306,"13-pp-pri-ostrom-allergicheskom-pristupe"
7080,"3. Как спасать пострадавшего","say И так, расскажу сегодня лекцию ""Как спасать пострадавшего"".
say Например, вы стоите на посту и поступает вызов от диспетчера.
say Вы приезжаете, а на месте пострадавший после ДТП или побитый человек, не важно.
say Первым делом, проверяете пульс, если жив - то делаете следующее""
say Останавливаете кровотечение, накладываете жгуты, зажимы, затягиваете вены.
say И тащите пациента в карету, засовываете его туда и везете в больницу в операционную.
say Перед операцией нужно помыть руки и надеть новые перчатки.
say Далее подключить пациента к аппарату жизненной деятельности и следить за его пульсом.
say Если пульс слабый, то нужно вколоть адреналин и сделать массаж сердца.
say Делать разряды дефибрилятором до тех пор, пока пульс не поднимется.
say Далее продезенфецировать все ранения, обработать их, остановить кровотечение.
say Если пациент потерял много крови, то сделать переливание донорской крови.
say После того, как вы спасли пострадавшего, вы должны лечить его поврежденные конечности.
say Если у него переломы, вправлять кости и накладывать гипсы.
say Если рваные раны, то зашиваете.
say Если пулевое ранение, то вытаскиваете пулю и зашиваете рану и так далее.
say На этом наша лекция окончена. Спасибо за внимание!",2025-07-03 23:02:07.111 +0300,2025-07-03 23:02:07.111 +0300,306,"3-kak-spasat-postradavshego"
7081,"4. Лекция для сотрудников ГУВД, ДПС","say Доброго времени суток, сейчас я проведу лекцию ""Оказание первой помощи пострадавшему при огнестрельном ранении"" 
say Мы сталкиваемся с опасностью каждый день... 
say Сталкиваетесь чаще всего с этим вы, ловите преступников, ежедневно у вас стоит угроза жизни для себя и окружающих. 
say При задержании могут ранить вас, либо может попасть пуля в обычного прохожего.. 
say Если такая ситуация настала, для начала нужно посмотреть где ранение, потом положить пострадавшего на спину. 
say Если ранение в ногу, руку, либо другие конечности тела, нужно взять жгут, либо ремень и..
say ..затянуть его выше ранения, чтобы остановить кровь.
say Далее нужно осмотреть рану, затем обработать какой-либо спиртосодержащей жидкостью. 
say Потом нужно взять что-то острое, вроде ножа, обработать спиртом нож, обработать руки..
say ..дабы не занести заразу в рану. 
say Потом нужно дать пострадавшему в зубы полотенце, кофту, майку, футболку,
say .. чтобы при сильной боли он зубами не прикусил язык. 
say Нужно вытащить пулю, и если операция прошла успешно, вам нужно наложить какую-либо повязку,
say ..будь то футболка, кофта или медицинский бинт и ждать приезда скорой помощи. 
say Если ранение в живот, плечо, шею, жгут накладывать не нужно, вместо жгута, взять какую-либо..
say ..ткань и попытаться остановить кровь сильно прижав ткань к ране. 
say После остановки крови, вам нужно повторить действия при ранении в конечности.

say Ситуации могут быть разные и скорая помощь может не приехать или не прибыть вовремя.
say Поэтому спустя 10-20 минут после ранения постарайтесь отвезти пострадавшего в больницу..
say ..для дальнейшего оказания помощи.

say В случае отсутствия врачей в больнице, вы можете и должны запросить помощи.
b [ТЕГ][ЦГБ-*] Требуется врач/экипаж в больницу города ... Пострадавший. Пулевое ранение. Прием..
say На этом лекция окончена. Спасибо за внимание.",2025-07-03 23:02:07.567 +0300,2025-07-03 23:02:07.567 +0300,306,"4-lektsija-dlja-sotrudnikov-guvd-dps"
7082,"5. Лекция о вреде курения","say Сегодня я расскажу вам о вреде курения и наркотиков
say Курение - одна из самых знаменитых и распространенных привычек на сегодняшний день.
say Запомните, господа, несколько вещей
say Курение вызывает рак и хроническое заболевание легких.
say Также, табачный дым вызывает у некоторых людей всяческие кожные заболевания.
say Брось сигарету - спаси себя и весь мир.

say Думаю каждый из вас знает, что наркотические средства очень вредны для организма
say Дыхание - одно из самых важных факторов в жизни, однако, наркоман..
say ..уже никогда не сможет дышать досыта.
say Наркоманы обрекают себя на пожизненное кислородное голодание.
say Также, наркотические средства постепенно уничтожают клетки мозга, функции всех клеток слабеют.
say И уже человеку с зависимостью становиться все сложнее обдумывать даже простые вещи.
say Галлюцинации - также частое явление при употреблении наркотических средств.
say И бывает, что человеку очень сложно совладеть ими, и из-за этого он делает ужасные вещи.

say На этом все, помните, ЦГБ города Невский заботится о вашем здоровье.
say Спасибо вам за внимание.",2025-07-03 23:02:08.020 +0300,2025-07-03 23:02:08.020 +0300,302,"5-lektsija-o-vrede-kurenija"
7083,"6. Мед. комиссия","say Приветствую! Сегодня лекция на тему"" Как проводить мед.комиссию сотрудникам ГУ-МВД.""
say По приходу сотрудников ГУ-МВД, вы забираете одного из них(если их несколько) в кабинет.
say Для начала попросите мед.карту на стол в открытом виде,после приступаем к проверке зрения..
say Отводим на дальнее расстояние сотрудника от стены, где будет висеть таблица Сивцева
b Отыгрываем таблицу
b do Таблица Сивцева висит на стене.
say Просим сотрудника закрыть любой глаз листом бумаги.
say Берем указку со стола и показываем букву сотруднику.
b Так же отыгрываем то,как взяли указку и показываете букву на таблице,к примеру:
b do Указка на столе.
b me взял(а) указку со стола
b do Указка в руке.
b me протянув указку к таблице,показывает букву
b do Указана буква А(например).
say После спрашиваем: Какая буква указана?
say Ожидаем ответа и проверяем еще пару букв..
say Далее просим закрыть другой глаз листом бумаги и так же указываем буквы.

say Переходим к проверке дыхания. У каждого должен висеть на шее стетоскоп..
b do На шее висит стетоскоп.
say Просим снять сотрудника верхнюю одежду..
say Далее берем стетоском с шеи и вставляем наконечники в уши
b me снял(а) стетоскоп с шеи
b do Стетоскоп в руке.
b me вставил(а) наконечники в уши и начал(а) слушать пациента
b do Процесс прослушивания.
say Так же просим сотрудника сделать глубокий вдох,а затем выдох.
say После того как прослушали дыхания,вышаем стетоскоп на шею и просим сотрудника одеться.
b Опять же отыгровки должны быть.
say Далее подходим к столу и записываем данные в мед.карту сотрудника
b do Ручка на столе.
b me взял(а) ручку и записал(а) данные в мед.карту
b do Данные внесены.
b me поставил подпись в мед. книжку 
b do Подпись поставлена. 
b me отложил ручку в сторону 
b do На столе стоит печать Министерства Здравоохранения. 
b me взял печать 
b do Печать в руках. 
b me поставил печать на подпись 
b do Печать поставлена. 
say Просим забрать мед.карту и отпускаем сотрудника.
say На этом лекция окончена. Вопросы есть?",2025-07-03 23:02:08.476 +0300,2025-07-03 23:02:08.476 +0300,304,"6-med-komissija"
7084,"7. О правилах и рабочих днях","say Уважаемые сотрудники, минуточку внимания.
say В рабочее время строго запрещено покидать больницу без разрешения руководства,
say а так же снимать форму и посещать развлекательные места.
say Нарушение правил трудового распорядка наказуемо выговором и увольнением!
say Хочу напомнить вам о рабочем времени нашей больницы.
say В будние дни - с 8:00 до 20:00, Суббота, Воскресение - с 9:00 до 19:00.
say Перерыв можно взять на 15 минут, каждые два часа и не более четырех раз в день.
say При желании взять перерыв, Вы должны попросить разрешение у Старшего Состава.
say Если Вы находитесь в старшем составе, то перерыв Вам могут дать только..
say ..главный врач или его заместители.
say После перерыва опаздывать не стоит, тщательно распределяйте свое время.
say Главный врач вправе запретить уйти на перерыв, либо попросить вас вернуться раньше..
say ..без разъяснения причин.
say Перерыв не берется перед собеседованием, мероприятием, тренировкой, лекцией и т.д.
say Во время перерыва Вы обязаны переодеться в гражданскую одежду. По прибытии - обратно.
say По окончании смены, Вы также обязаны переодеться и доложить в рацию.
say Всем спасибо, лекция завершена!",2025-07-03 23:02:08.931 +0300,2025-07-03 23:02:08.931 +0300,305,"7-o-pravilah-i-rabochih-dnjah"
